
code	|	name	|	preferred name	|	lineage
1	|	Microdochium	|	 	|	67608 1682405 37989 222545 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Coprinopsis	|	 	|	184431 184208 2982305 5338 452333 155619 5302 5204 451864 4751 33154 2759 131567 
1	|	Cyclospora	|	 	|	44417 5799 423054 75739 5796 1280412 5794 33630 2698737 2759 131567 
1	|	Helobdella	|	 	|	6411 6407 6406 55824 42113 6340 1206795 2697495 33317 33213 6072 33208 33154 2759 131567 
1	|	Bigelowiella	|	 	|	227085 29197 136419 543769 2698737 2759 131567 
1	|	Penicillium	|	 	|	5073 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Aspergillus	|	 	|	5052 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Penicillium	|	 	|	5073 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Bigelowiella	|	 	|	227085 29197 136419 543769 2698737 2759 131567 
1	|	Neurospora	|	 	|	5140 5148 5139 222544 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Paramacrobiotus	|	 	|	697304 42243 2558951 149990 42242 42241 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Ictalurus	|	 	|	7997 7996 1489793 7995 186628 186626 32519 186634 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Ilyonectria	|	 	|	1079112 110618 5125 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Daldinia	|	 	|	42360 2033035 37989 222545 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Perkinsus	|	 	|	28000 27999 27998 27997 2497438 33630 2698737 2759 131567 
1	|	Carcharodon	|	 	|	13396 7844 7850 30496 119195 119197 119203 7778 7777 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Aureococcus	|	 	|	44055 54409 35675 2696291 33634 2698737 2759 131567 
1	|	Cladophialophora	|	 	|	82105 43219 34395 451870 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Penicillium	|	 	|	5073 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Anguilla	|	 	|	7935 7934 7933 32521 186624 1489340 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Candida	|	 	|	5475 1535325 766764 2916678 4892 4891 147537 716545 4890 451864 4751 33154 2759 131567 
1	|	Colletotrichum	|	 	|	5455 681950 1028384 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Podospora	|	 	|	5144 2609812 5139 222544 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Phytophthora	|	 	|	4783 4777 4776 4762 33634 2698737 2759 131567 
1	|	Penicillium	|	 	|	5073 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Gamsiella	|	 	|	2779868 4854 214503 2212732 1137986 1913637 112252 4751 33154 2759 131567 
1	|	Emiliania	|	 	|	2902 418966 73020 2608131 2830 2608109 2759 131567 
1	|	Neohortaea	|	 	|	2072583 668547 2726947 451867 147541 715962 716546 147538 716545 4890 451864 4751 33154 2759 131567 
